,operator,well_name,latitude,longitude,API.1
89,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'56.960""W",33-105-02727
90,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
91,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
92,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
93,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
94,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
95,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
96,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
97,INC.,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
98,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
99,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
100,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
101,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
102,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
103,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
104,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
105,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
106,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
107,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
108,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
109,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
110,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
111,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
112,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
113,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
114,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
115,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
116,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
117,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
118,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
119,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
120,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
121,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
122,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
123,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
124,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
125,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
126,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
127,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
128,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
129,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
130,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
131,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
132,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
133,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
134,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
135,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
